avtor,odlocilna_ocena
Suzanne Collins,2.991.845
J.K. Rowling,2.630.762
Harper Lee,2.267.440
Jane Austen,1.980.034
Stephenie Meyer,1.458.877
Markus Zusak,1.371.355
George Orwell,1.275.335
C.S. Lewis,1.237.662
J.R.R. Tolkien,1.157.829
Margaret Mitchell,1.087.141
John Green,1.086.569
Douglas Adams,1.063.038
Shel Silverstein,1.021.118
Emily Brontë,980.557
Dan Brown,875.958
Arthur Golden,862.350
Oscar Wilde,860.823
Lewis Carroll,833.310
Charlotte Brontë,825.894
Victor Hugo,812.239
Ray Bradbury,792.808
Veronica Roth,792.792
William Golding,773.366
William Shakespeare,771.204
Paulo Coelho,765.098
Fyodor Dostoyevsky,758.780
Stephen Chbosky,757.913
F. Scott Fitzgerald,753.746
Cassandra Clare,721.630
Orson Scott Card,720.269
Kathryn Stockett,718.141
L.M. Montgomery,695.268
J.K. Rowling,690.195
Antoine de Saint-Exupéry,688.993
E.B. White,680.588
John Steinbeck,667.538
Audrey Niffenegger,666.332
Bram Stoker,646.393
Aldous Huxley,635.586
Gabriel García Márquez,620.989
J.D. Salinger,602.891
William Goldman,601.298
Rick Riordan,595.870
Frances Hodgson Burnett,585.449
Khaled Hosseini,580.250
Madeleine L&#39;Engle,562.702
George R.R. Martin,561.481
Mark Twain,516.353
Alice Sebold,510.188
S.E. Hinton,508.860
Maurice Sendak,502.753
Dr. Seuss,497.793
Homer,494.160
Yann Martel,490.279
Charles Dickens,488.344
Sara Gruen,474.231
Vladimir Nabokov,461.680
Kurt Vonnegut Jr.,448.585
Mary Wollstonecraft Shelley,438.167
Khaled Hosseini,436.529
Margaret Atwood,422.226
Lois Lowry,417.769
Joseph Heller,408.151
Frank Herbert,406.403
Ken Follett,392.354
Stephen King,391.703
Arthur Conan Doyle,375.676
Richard  Adams,370.933
Charles Dickens,367.038
Louisa May Alcott,354.255
Sylvia Plath,351.402
J.K. Rowling,350.761
Ken Kesey,350.410
Leo Tolstoy,348.061
Diana Gabaldon,341.370
Jodi Picoult,340.838
Roald Dahl,339.769
J.R.R. Tolkien,338.702
Stieg Larsson,338.089
Daphne du Maurier,332.160
George Orwell,323.235
Alice Walker,318.919
Betty  Smith,309.313
Anthony Burgess,302.669
Cormac McCarthy,300.848
Fyodor Dostoyevsky,299.439
Frank McCourt,290.215
Richelle Mead,277.718
Hermann Hesse,272.823
Barbara Kingsolver,271.161
Philip Pullman,256.957
Miguel de Cervantes Saavedra,253.475
Ayn Rand,248.484
J.K. Rowling,247.193
Ernest Hemingway,235.243
