naslov,avtor,ocena,vse_ocene,kon_ocena,vsi_glasovi
The Hunger Games,Suzanne Collins, 4.33 ,"6,370,017",2.991.845,30496
Harry Potter and the Order of the Phoenix,J.K. Rowling, 4.50 ,"2,504,487",2.630.762,26908
To Kill a Mockingbird,Harper Lee, 4.28 ,"4,495,640",2.267.440,23308
Pride and Prejudice,Jane Austen, 4.26 ,"2,994,101",1.980.034,20421
Twilight,Stephenie Meyer, 3.60 ,"4,959,289",1.458.877,14868
The Book Thief,Markus Zusak, 4.37 ,"1,831,989",1.371.355,14153
Animal Farm,George Orwell, 3.95 ,"2,736,877",1.275.335,13252
The Chronicles of Narnia,C.S. Lewis, 4.26 ,"516,998",1.237.662,12940
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien, 4.60 ,"110,047",1.157.829,12091
Gone with the Wind,Margaret Mitchell, 4.30 ,"1,073,765",1.087.141,11205
The Fault in Our Stars,John Green, 4.21 ,"3,546,077",1.086.569,11282
The Hitchhiker&#39;s Guide to the Galaxy,Douglas Adams, 4.22 ,"1,434,332",1.063.038,10990
The Giving Tree,Shel Silverstein, 4.37 ,"904,639",1.021.118,10590
Wuthering Heights,Emily Brontë, 3.86 ,"1,341,051",980.557,10265
The Da Vinci Code,Dan Brown, 3.86 ,"1,931,396",875.958,9224
Memoirs of a Geisha,Arthur Golden, 4.12 ,"1,715,918",862.350,8989
The Picture of Dorian Gray,Oscar Wilde, 4.08 ,"964,607",860.823,9086
Alice&#39;s Adventures in Wonderland &amp; Through the Looking-Glass,Lewis Carroll, 4.06 ,"457,625",833.310,8808
Jane Eyre,Charlotte Brontë, 4.13 ,"1,622,914",825.894,8731
Les Misérables,Victor Hugo, 4.18 ,"682,201",812.239,8539
Fahrenheit 451,Ray Bradbury, 3.99 ,"1,677,761",792.808,8527
Divergent,Veronica Roth, 4.19 ,"2,902,757",792.792,8334
Lord of the Flies,William Golding, 3.69 ,"2,260,975",773.366,8228
Romeo and Juliet,William Shakespeare, 3.75 ,"2,053,406",771.204,8276
The Alchemist,Paulo Coelho, 3.88 ,"2,104,528",765.098,8003
Crime and Punishment,Fyodor Dostoyevsky, 4.22 ,"625,973",758.780,7934
The Perks of Being a Wallflower,Stephen Chbosky, 4.20 ,"1,248,893",757.913,7974
The Great Gatsby,F. Scott Fitzgerald, 3.92 ,"3,771,366",753.746,8128
City of Bones,Cassandra Clare, 4.10 ,"1,615,821",721.630,7599
Ender&#39;s Game,Orson Scott Card, 4.30 ,"1,129,971",720.269,7511
The Help,Kathryn Stockett, 4.47 ,"2,161,511",718.141,7692
Anne of Green Gables,L.M. Montgomery, 4.26 ,"726,737",695.268,7338
Harry Potter and the Sorcerer&#39;s Stone,J.K. Rowling, 4.47 ,"7,038,162",690.195,7335
The Little Prince,Antoine de Saint-Exupéry, 4.31 ,"1,360,343",688.993,7374
Charlotte&#39;s Web,E.B. White, 4.17 ,"1,415,586",680.588,7352
Of Mice and Men,John Steinbeck, 3.88 ,"1,940,242",667.538,7214
The Time Traveler&#39;s Wife,Audrey Niffenegger, 3.97 ,"1,572,484",666.332,6969
Dracula,Bram Stoker, 4.00 ,"936,379",646.393,6984
Brave New World,Aldous Huxley, 3.99 ,"1,439,459",635.586,6828
One Hundred Years of Solitude,Gabriel García Márquez, 4.08 ,"752,554",620.989,6540
The Catcher in the Rye,J.D. Salinger, 3.81 ,"2,733,332",602.891,6529
The Princess Bride,William Goldman, 4.26 ,"778,818",601.298,6409
The Lightning Thief,Rick Riordan, 4.26 ,"1,989,470",595.870,6357
The Secret Garden,Frances Hodgson Burnett, 4.13 ,"890,218",585.449,6442
A Thousand Splendid Suns,Khaled Hosseini, 4.38 ,"1,149,896",580.250,6159
A Wrinkle in Time,Madeleine L&#39;Engle, 4.00 ,"1,050,585",562.702,6013
A Game of Thrones,George R.R. Martin, 4.45 ,"2,000,967",561.481,5999
The Adventures of Huckleberry Finn,Mark Twain, 3.82 ,"1,151,086",516.353,5686
The Lovely Bones,Alice Sebold, 3.82 ,"2,012,823",510.188,5512
The Outsiders,S.E. Hinton, 4.10 ,"937,003",508.860,5507
Where the Wild Things Are,Maurice Sendak, 4.22 ,"816,093",502.753,5479
Green Eggs and Ham,Dr. Seuss, 4.30 ,"615,833",497.793,5478
The Odyssey,Homer, 3.77 ,"860,657",494.160,5434
Life of Pi,Yann Martel, 3.91 ,"1,337,782",490.279,5305
A Tale of Two Cities,Charles Dickens, 3.85 ,"809,331",488.344,5359
Water for Elephants,Sara Gruen, 4.09 ,"1,378,388",474.231,5109
Lolita,Vladimir Nabokov, 3.89 ,"662,415",461.680,4973
Slaughterhouse-Five,Kurt Vonnegut Jr., 4.08 ,"1,127,861",448.585,4856
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley, 3.81 ,"1,160,978",438.167,4908
The Kite Runner,Khaled Hosseini, 4.30 ,"2,422,448",436.529,4766
The Handmaid&#39;s Tale,Margaret Atwood, 4.11 ,"1,456,780",422.226,4640
The Giver,Lois Lowry, 4.13 ,"1,782,830",417.769,4561
Catch-22,Joseph Heller, 3.98 ,"722,484",408.151,4453
Dune,Frank Herbert, 4.23 ,"762,885",406.403,4390
The Pillars of the Earth,Ken Follett, 4.32 ,"647,587",392.354,4222
The Stand,Stephen King, 4.34 ,"615,137",391.703,4240
The Adventures of Sherlock Holmes,Arthur Conan Doyle, 4.30 ,"242,764",375.676,4213
Watership Down,Richard  Adams, 4.06 ,"433,333",370.933,4056
Great Expectations,Charles Dickens, 3.78 ,"650,103",367.038,4222
Little Women,Louisa May Alcott, 4.09 ,"1,679,749",354.255,4057
The Bell Jar,Sylvia Plath, 4.01 ,"590,478",351.402,3859
Harry Potter and the Deathly Hallows,J.K. Rowling, 4.62 ,"2,807,622",350.761,3829
One Flew Over the Cuckoo&#39;s Nest,Ken Kesey, 4.19 ,"630,371",350.410,3970
Anna Karenina,Leo Tolstoy, 4.05 ,"655,040",348.061,3814
Outlander,Diana Gabaldon, 4.23 ,"822,758",341.370,3654
My Sister&#39;s Keeper,Jodi Picoult, 4.08 ,"1,056,066",340.838,3752
Matilda,Roald Dahl, 4.32 ,"646,512",339.769,3788
The Fellowship of the Ring,J.R.R. Tolkien, 4.36 ,"2,353,514",338.702,3814
The Girl with the Dragon Tattoo,Stieg Larsson, 4.14 ,"2,605,461",338.089,3778
Rebecca,Daphne du Maurier, 4.23 ,"448,536",332.160,3732
1984,George Orwell, 4.19 ,"3,135,390",323.235,3532
The Color Purple,Alice Walker, 4.22 ,"520,576",318.919,3626
A Tree Grows in Brooklyn,Betty  Smith, 4.27 ,"388,130",309.313,3405
A Clockwork Orange,Anthony Burgess, 3.99 ,"600,363",302.669,3410
The Road,Cormac McCarthy, 3.97 ,"715,444",300.848,3299
The Brothers Karamazov,Fyodor Dostoyevsky, 4.32 ,"242,876",299.439,3310
Angela&#39;s Ashes,Frank McCourt, 4.11 ,"539,081",290.215,3239
Vampire Academy,Richelle Mead, 4.12 ,"548,340",277.718,2985
Siddhartha,Hermann Hesse, 4.03 ,"581,934",272.823,3046
The Poisonwood Bible,Barbara Kingsolver, 4.06 ,"658,350",271.161,2977
The Golden Compass,Philip Pullman, 3.99 ,"1,282,702",256.957,2878
