naslov,odlocilna_ocena,vsi_glasovi
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",14.021,157
Being and Time,15.553,159
We Were Liars,14.288,161
Slammed,14.733,167
The Goldfinch,14.278,168
The Raven Boys,14.611,169
The Bronze Horseman,15.678,172
Queen of Shadows,14.897,172
All the Bright Places,15.905,174
The Darkest Minds,15.203,174
The Zombie Room,15.778,175
Hyperion,14.720,175
Angelfall,15.745,178
Lover Eternal,14.062,179
Ignite Me,15.294,180
Invisible Monsters,15.186,181
The Unbecoming of Mara Dyer,15.955,183
Speaker for the Dead,14.462,183
You Are Special,15.642,184
Acheron,16.205,188
Wicked Lovely,15.134,188
The Last Unicorn,14.809,188
The Westing Game,14.422,188
Interpreter of Maladies,14.341,190
Red Queen,17.003,191
Sabriel,15.638,191
The Goose Girl,15.490,191
Drums of Autumn,15.067,191
The Last Lecture,15.336,192
Ishmael,16.052,194
P.S. I Love You,15.036,194
The Red Pyramid,14.315,194
Cutting for Stone,15.631,195
Hunted,14.922,195
No Country for Old Men,14.661,196
Unwind,16.625,197
All the King&#39;s Men,14.192,197
A Discovery of Witches,16.633,198
World Without End,15.010,199
Aristotle and Dante Discover the Secrets of the Universe,18.331,200
Perfect Chemistry,17.008,200
I Capture the Castle,15.485,200
The Bad Beginning,14.584,200
The Elite,16.080,201
I Am Number Four,15.754,202
Persuasion,15.502,202
Mistress Suffragette,18.215,203
Silence,16.076,203
Quantum Roots II: Worm Holes,18.334,204
Halfway to the Grave,17.038,204
Just Listen,16.745,204
Bared to You,17.549,205
The Truth About Forever,16.672,205
Trainspotting,16.613,205
Swann&#39;s Way,16.418,205
Snow Crash,17.719,208
The Elephant Tree,18.819,209
Dead to the World,15.727,209
Cyrano de Bergerac,14.569,210
Johnny Got His Gun,17.156,211
Nine Stories,15.991,212
A Christmas Carol,14.892,213
Sarah&#39;s Key,16.291,214
The Hours,15.131,214
The Bean Trees,14.620,215
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,17.009,216
A Great and Terrible Beauty,17.567,217
The Summoning,17.426,217
